Model,DS,DG,ARC_Challenge,ARC_Easy,BoolQ,Hellaswag,MMLU_humanities,MMLU_other,MMLU_social_sciences,MMLU_stem,PIQA,SciQ,TruthfulQA_mc1,TruthfulQA_mc2,WinoGrande
LlamaOne,46.78,65.48,36.01,68.43,69.48,45.12,44.02,51.95,51.02,38.41,73.99,93.80,27.42,43.90,60.06
GemmaTwo,69.20,71.13,50.77,80.98,83.73,53.75,50.69,64.34,67.21,48.65,78.45,95.60,36.96,53.09,69.93
LlamaThree,64.70,67.91,43.52,73.99,78.38,52.22,59.17,65.85,66.98,50.08,75.79,95.10,32.56,49.73,67.64
PhiMini,68.16,72.25,59.30,84.13,85.78,58.80,64.59,72.26,79.23,60.83,79.60,96.70,38.80,56.34,74.43
PhiSmall,75.34,73.40,60.24,85.35,87.43,65.38,64.27,67.91,74.36,54.93,81.50,97.00,46.39,64.67,78.61
Mistral,70.29,70.27,54.61,81.78,85.87,59.59,57.77,71.13,74.29,56.26,81.07,96.80,32.31,48.74,74.03
LlamaEight,70.79,67.38,51.88,81.90,84.07,59.11,64.25,74.22,76.93,58.20,80.09,96.60,37.09,54.03,73.64
GemmaNine,76.94,70.84,63.31,85.77,88.78,59.64,65.02,76.89,83.52,65.78,81.01,97.00,42.96,60.18,75.61
